"","id","block","trial_number","safe_option","p","lumpSum","odds_ratio","frame_choice","response_choice","choice","reaction_time_choice","practice_trial","catch_trial","random_trial","time_elapsed"
"1",1,0,1,47,0.6,78,1,"gain_frame","j","risky",2494,1,0,0,116036
"2",1,0,2,-25,0.6,62,1,"loss_frame","j","risky",1879,1,0,0,122930
"3",1,1,1,39,0.6,64,1,"gain_frame","j","risky",1946,0,0,0,194717
"4",1,1,2,39,0.4,97,1,"gain_frame","f","safe",1488,0,0,0,201218
"5",1,1,3,-49,0.95,99,0.53,"loss_frame","j","risky",1528,0,1,0,207764
"6",1,1,4,-45,0.05,89,9.9,"loss_frame","f","safe",2343,0,1,0,215124
"7",1,1,5,-39,0.6,99,1,"loss_frame","j","risky",1177,0,0,0,221325
"8",1,1,6,67,0.8,83,1,"gain_frame","j","risky",727,0,0,0,227068
"9",1,1,7,-58,0.2,72,1,"loss_frame","f","safe",2210,0,0,0,234303
"10",1,1,8,-23,0.6,56,1,"loss_frame","j","risky",1265,0,0,0,240590
"11",1,1,9,13,0.2,67,1,"gain_frame","f","safe",1508,0,0,0,247119
"12",1,1,10,61,0.8,76,1,"gain_frame","j","risky",1525,0,0,0,253657
"13",1,1,11,39,0.4,98,1,"gain_frame","j","risky",1956,0,0,0,260633
"14",1,1,12,-14,0.8,71,1,"loss_frame","j","risky",832,0,0,0,266479
"15",1,1,13,33,0.6,55,1,"gain_frame","j","risky",712,0,0,0,272216
"16",1,1,14,-20,0.8,96,1,"loss_frame","j","risky",545,0,0,0,277776
"17",1,1,15,37,0.95,74,0.53,"gain_frame","j","risky",595,0,1,0,283391
"18",1,1,16,-46,0.2,58,1,"loss_frame","j","risky",2178,0,0,0,290592
"19",1,1,17,-74,0.2,92,1,"loss_frame","j","risky",1277,0,0,0,296885
"20",1,1,18,52,0.8,66,1,"gain_frame","j","risky",1323,0,0,0,303233
"21",1,1,19,-34,0.05,68,9.97,"loss_frame","f","safe",1457,0,1,0,309714
"22",1,1,20,32,0.4,79,1,"gain_frame","f","safe",1711,0,0,0,316445
"23",1,1,21,-48,0.95,97,0.53,"loss_frame","j","risky",570,0,1,0,322036
"24",1,1,22,48,0.95,96,0.52,"gain_frame","j","risky",606,0,1,0,327660
"25",1,1,23,47,0.6,79,1,"gain_frame","j","risky",700,0,0,0,333378
"26",1,1,24,-13,0.8,66,1,"loss_frame","j","risky",695,0,0,0,339094
"27",1,1,25,-58,0.4,96,1,"loss_frame","j","risky",1158,0,0,0,345266
"28",1,1,26,11,0.2,54,1,"gain_frame","f","safe",883,0,0,0,351167
"29",1,1,27,-41,0.05,82,9.99,"loss_frame","f","safe",1419,0,1,0,357608
"30",1,1,28,-18,0.8,89,1,"loss_frame","j","risky",1194,0,0,0,363819
"31",1,1,29,31,0.05,63,9.88,"gain_frame","f","safe",1072,0,1,0,369907
"32",1,1,30,43,0.05,85,10.09,"gain_frame","f","safe",992,0,1,0,375915
"33",1,1,31,24,0.4,60,1,"gain_frame","f","safe",1983,0,0,0,382918
"34",1,1,32,65,0.8,81,1,"gain_frame","j","risky",1136,0,0,0,389074
"35",1,1,33,-66,0.2,82,1,"loss_frame","f","safe",678,0,0,0,394769
"36",1,1,34,-49,0.2,61,1,"loss_frame","j","risky",1224,0,0,0,401008
"37",1,1,35,11,0.2,55,1,"gain_frame","f","safe",1233,0,0,0,407261
"38",1,1,36,-46,0.4,77,1,"loss_frame","j","risky",1207,0,0,0,413492
"39",1,1,37,43,0.6,72,1,"gain_frame","j","risky",530,0,0,0,419040
"40",1,1,38,37,0.6,62,1,"gain_frame","j","risky",549,0,0,0,424611
"41",1,1,39,-28,0.95,57,0.53,"loss_frame","j","risky",537,0,1,0,430160
"42",1,1,40,42,0.8,52,1,"gain_frame","j","risky",655,0,0,0,435839
"43",1,1,41,29,0.05,58,10.01,"gain_frame","f","safe",969,0,1,0,441828
"44",1,1,42,27,0.95,54,0.52,"gain_frame","j","risky",803,0,1,0,447652
"45",1,1,43,17,0.2,85,1,"gain_frame","f","safe",898,0,0,0,453577
"46",1,1,44,-25,0.6,63,1,"loss_frame","j","risky",820,0,0,1,459411
"47",1,1,45,19,0.2,96,1,"gain_frame","f","safe",1671,0,0,0,466107
"48",1,1,46,36,0.4,90,1,"gain_frame","f","safe",1409,0,0,0,472524
"49",1,1,47,-53,0.4,89,1,"loss_frame","j","risky",1188,0,0,0,478737
"50",1,1,48,-11,0.8,56,1,"loss_frame","j","risky",827,0,0,0,484581
"51",1,1,49,-22,0.6,56,1,"loss_frame","j","risky",693,0,0,0,490300
"52",1,1,50,-38,0.6,96,1,"loss_frame","j","risky",681,0,0,0,496006
"53",1,1,51,-51,0.4,85,1,"loss_frame","j","risky",1391,0,0,0,502409
"54",1,1,52,-39,0.4,65,1,"loss_frame","j","risky",1023,0,0,0,508454
"55",2,0,1,22,0.4,56,1,"gain_frame","f","safe",9221,1,0,0,124931
