"","id","age","gender","colorblindness","time_elapsed","total_points","monetary_score","feedback"
"1",1,31,"male","no",2610931,168,1.68,"tried to find ones that offered higher % of winnings"
"2",2,24,"male","no",2321263,245,2.45,"I tried to choose the casino that offered a keep option. I felt like over the long term I would win the most money by sticking with this option."
"3",3,34,"Male","No",2681374,166,1.66,"I could not discern a winning strategy between the two casinos"
"4",4,32,"Female","No",4412604,142,1.42,"Choose the keep option for money because easier to know what I keep versus what I lose."
"5",5,29,"Male","No",2423010,118,1.18,"I went with the casinos that said keep later on, was easier to make a decision."
"6",6,34,"Male","no",2830241,154,1.54,"I would the casino that had consistent better average for gambling."
"7",7,39,"female","no",2796288,206,2.06,"i choose the casino that keeps mone"
"8",8,29,"male","No",2320809,242,2.42,"If I lost a small amount of what I received I usually took that even if I had a great chance at winning a gamble. I also tried to mix things up between losing or keeping money and gambling. Lastly, If I was going to lose most of my money I decided to gamble most of the time."
"9",9,33,"Male","No, I'm not colorblind.",2717747,85,0.85,"I just went with what casinos seemed to give the less risky gambles more often."
"10",10,29,"Male","No",2177011,280,2.8,"I always went with anything above 50%"
"11",11,33,"male","no",2176965,210,2.1,"I just picked the casino that kept giving out the most money to start."
"12",12,28,"Male","No",2477922,186,1.86,"When I got a bad trial (a small chance to save my money) in one casino, I switched."
"13",13,25,"Male","No",2154233,224,2.24,"Yes, Listening is very important."
"14",14,25,"Male","no",2670611,277,2.77,"no strategies"
"15",15,31,"Male","no",2648715,158,1.58,"I chose the casino with the guarantee."
"16",16,32,"male","no",2736274,192,1.92,"Not really. I felt pretty rushed, and didn't have enough time to make sensible decisions. My main goal was to just choose something before the time ran out."
"17",17,24,"Female","No",2424881,254,2.54,"If I noticed that gambling at a certain casino consistently resulted in a higher loss risk, I would visit the other casino to see if it was different and if it was, I'd stay there until it'd start to show a higher loss risk too. "
"18",18,25,"Female","No",3088066,161,1.61,"I did not develop any strategies."
"19",19,31,"male","no",2804034,182,1.82,"no"
"20",20,33,"Female","No",3675996,125,1.25,"It took me a while to realize that the phrasing of ""keep"" or ""lose"" was influencing my behavior, when often the ""keep"" values were lower than what you'd ultimately lose. For the most part, I tried to fish for the casino choices that had high gamble success rates."
"21",21,34,"female","no",2587343,96,0.96,"I lied the ones that showed keep better but I tried to mix it up as requested"
"22",22,30,"Female","No",2731229,72,0.72,"If I was given a high number I would have risked less at times. But i was given a lower nunmber, I would risk more."
"23",23,32,"Male","No",2368368,294,2.94,"I think I generally preferred casinos with a ""Loss"" calculation. The ""Keep"" casinos didn't seem as appealing for some reason."
"24",24,24,"Male","no",4315178,181,1.81,"to keep as much as possible"
"25",25,23,"male","no",2523410,112,1.12,"no"
"26",26,25,"Female","No",3273160,107,1.07,"I didn't want to take risks but ended up taking some"
"27",27,20,"Male","No",2173155,218,2.18,"Not really as I did try to develop one in the beginning but I could not notice a pattern"
"28",28,27,"female","no",3078300,37,0.37,"I just chose to gamble, since the wins were so tiny, I wouldn't make the one dollar extra"
"29",29,30,"Male","No",2225407,229,2.29,"I just preferred to focus on the keep casinos and try not to gamble if the chance was too low."
"30",30,34,"female","no",2706925,169,1.69,"I tried to remember which casino gave me more money to start and usually went with those casinos "
"31",31,27,"female","no",2907717,238,2.38,"no i did not"
"32",32,28,"female","no",2348754,126,1.26,"Yes, I chose the casino that was less likely to have losses but I still took risks to see if the other casino would have a better outcome initially. Afterwards, I stayed with the casino that was more likely to keep because it was more likely to win."
"33",33,28,"female","no",2916718,107,1.07,"Not really, just tried to see what decision would most likely yield the most money"
"34",34,24,"Male","No",2311283,232,2.32,"I did not use any strategy in particular when choosing the casinos"
"35",35,34,"female","no",2651842,213,2.13,"some seemed to give more money at times or had better odds. so i would base it on that at times"
"36",36,28,"female","no",15995277,144,1.44,"no"
"37",37,27,"Male","No",2465069,200,2,"I preferred choosing the casino which would show me how much I could keep rather than how much I could lose"
"38",38,31,"Male","No",2292758,158,1.58,"I trusted my gut feeling."
"39",39,32,"female","no",2444991,63,0.63,"I thought of which option i had more luck in winning and chose that"
"40",40,26,"male","no",2421129,166,1.66,"no I did not"
"41",41,29,"Male","No",2624066,144,1.44,"Yes, I would continue choosing a casino that was bringing up bigger outcomes, and if a low outcome was received, I changed to the other casino. I also very rarely gambled. "
"42",42,31,"female","no",2493937,237,2.37,"No, not really. I tried to quickly compare the green to red ratio to the number but everything happened to quickly"
"43",43,28,"Male","No",2324492,299,2.99,"Stay with one for a long time and try be consistent."
"44",44,32,"Female","No",2643503,248,2.48,"By the second trial I noticed it seemed like one casino gave better odds on average, or at least offered better guaranteed earnings, so I began to choose that casino more frequently; not sure if that's just in my head or not though."
"45",45,29,"male","no",2141209,226,2.26,"I just selected each casino at least 5 times, then stuck with the one that seemed to have the best odds on the gamble side."
"46",46,25,"Male","No",2304970,253,2.53,"One was typically more rewarding than the other, so I would choose that one more often. However I think the 2nd trial the casions were about the same, so I just ended up alternating between them and it actually yielded much better results."
"47",47,27,"Male","No",2276949,162,1.62,"I noticed one casino seemed more financially lucrative, which was my main strategy."
"48",48,26,"Male","No",2914834,103,1.03,"No particular casino, I went with my gut there but did try to see if the other ""felt"" better."
"49",49,32,"Male","No",2037811,151,1.51,"Pick ones with high gives"
"50",50,25,"Male","No",1991246,217,2.17,"I worked based on my thoughts."
"51",51,33,"Female","No",2998873,187,1.87,"I chose to keep as much as possible instead of gamble"
"52",52,30,"male","no",2980574,135,1.35,"Focusing on the box likely to have a higher number."
"53",53,25,"female","no",2260337,227,2.27,"Yes - I picked gamble if the green was more than half of the circle. "
"54",54,30,"male","no",2434553,154,1.54,"I just picked what I thought gave the highest keep."
"55",55,27,"female","no",2837294,167,1.67,"no"
"56",56,25,"Male","No",2392331,111,1.11,"i just tried to take the best deal i could"
"57",57,34,"female","no",4244949,198,1.98,"Yes, I picked the casino names I liked mostly and the options I could understand easiest. I could understand keeping something much easier."
"58",58,31,"female","no",2170779,212,2.12,"If it was keep over 50% I went with gamble most of the time."
"59",59,25,"Male","No",2804634,257,2.57,"I started by giving each casino a few rounds to see if there was a difference in odds. After choosing my favorite, I stuck with that one for a while until the odds were consistently bad and switched to the other where I did the same"
"60",60,24,"Female","No",3794426,143,1.43,"Not really. It sometimes seemed like certain casinos were lucky, but they actually weren't."
"61",61,32,"Male","No",2738447,201,2.01,"I usually preferred the one that stated the keep amount. This seemed to make it easier for me to make a decision on the fly."
"62",62,31,"female","no",2996268,384,3.84,"try each out enough to try to get the ones with the most/highest ""take all"" options"
"63",63,30,"Woman","No",2552338,174,1.74,"Comparing keep/lose to the percentage of risk of gambling."
"64",64,30,"Male","No",2637834,104,1.04,"Some said keep and some said lose. I tried to compare and see which seemed to give more."
"65",65,34,"female","no",2867606,185,1.85,"I went with what I felt had the better outcomes in the pie chart. Plus, there were some names of the casinos that I liked better than the other one."
"66",66,25,"female","no",2534483,150,1.5,"Honestly no, sometimes I feel like being risky, other times I did not. I figured throughout the entire experiment, I would just take the safe option if the guaranteed sum was at least half the original received amount."
