"","id","block","trial_number","safe_option","p","lumpSum","odds_ratio","frame_choice","response_choice","choice","reaction_time_choice","practice_trial","catch_trial","random_trial","time_elapsed"
"1",1,0,1,23,0.4,58,1,"gain_frame","f","safe",2633,1,0,0,86171
"2",1,0,2,-48,0.2,60,1,"loss_frame","f","safe",1279,1,0,0,95007
"3",1,1,1,-23,0.6,57,1,"loss_frame","j","risky",1274,0,0,0,156813
"4",1,1,2,48,0.8,60,1,"gain_frame","j","risky",908,0,0,0,165283
"5",1,1,3,41,0.6,68,1,"gain_frame","f","safe",1952,0,0,0,174787
"6",1,1,4,-65,0.2,81,1,"loss_frame","f","safe",2612,0,0,0,184957
"7",1,1,5,59,0.8,74,1,"gain_frame","j","risky",785,0,0,0,193299
"8",1,1,6,-42,0.4,70,1,"loss_frame","f","safe",2084,0,0,0,202941
"9",1,1,7,-28,0.6,70,1,"loss_frame","f","safe",3866,0,0,0,214366
"10",1,1,8,25,0.4,62,1,"gain_frame","f","safe",1305,0,0,0,223239
"11",1,1,9,-34,0.95,68,0,"loss_frame","j","risky",1211,0,1,0,231997
"12",1,1,10,29,0.4,72,1,"gain_frame","f","safe",1215,0,0,0,240771
"13",1,1,11,30,0.05,61,0,"gain_frame","f","safe",1563,0,1,0,249885
"14",1,1,12,-52,0.2,65,1,"loss_frame","f","safe",1140,0,0,0,258589
"15",1,1,13,-34,0.4,57,1,"loss_frame","no_choice","no_choice",-1,0,0,0,270157
"16",1,1,14,-28,0.05,56,0,"loss_frame","f","safe",960,0,1,0,278685
"17",1,1,15,49,0.8,61,1,"gain_frame","j","risky",966,0,0,0,287219
"18",1,1,16,15,0.2,74,1,"gain_frame","f","safe",2829,0,0,0,297606
"19",1,1,17,-68,0.2,85,1,"loss_frame","j","risky",2394,0,0,0,307550
"20",1,1,18,-29,0.95,58,0,"loss_frame","j","risky",1593,0,1,0,316702
"21",1,1,19,-28,0.6,71,1,"loss_frame","f","safe",2370,0,0,0,326626
"22",1,1,20,-17,0.8,82,1,"loss_frame","f","safe",2326,0,0,0,336509
"23",1,1,21,13,0.2,63,1,"gain_frame","f","safe",809,0,0,0,344894
"24",1,1,22,51,0.6,85,1,"gain_frame","f","safe",1466,0,0,0,353919
"25",1,1,23,-12,0.8,59,1,"loss_frame","j","risky",3777,0,0,0,365261
"26",1,1,24,-32,0.4,54,1,"loss_frame","f","safe",1527,0,0,0,374355
"27",1,1,25,29,0.4,74,1,"gain_frame","f","safe",666,0,0,1,382583
"28",1,1,26,12,0.2,60,1,"gain_frame","f","safe",752,0,0,0,390882
"29",1,1,27,-29,0.05,59,0,"loss_frame","f","safe",674,0,1,0,399118
"30",1,1,28,39,0.6,66,1,"gain_frame","f","safe",1872,0,0,0,408558
"31",1,1,29,-50,0.4,83,1,"loss_frame","f","safe",1733,0,0,0,417853
"32",1,1,30,68,0.8,85,1,"gain_frame","j","risky",654,0,0,0,426054
"33",1,1,31,-42,0.4,71,1,"loss_frame","f","safe",1736,0,0,0,435342
"34",1,1,32,63,0.8,78,1,"gain_frame","f","safe",714,0,0,0,443598
"35",1,1,33,33,0.95,66,0,"gain_frame","j","risky",1053,0,1,0,452227
"36",1,1,34,-44,0.2,55,1,"loss_frame","f","safe",1683,0,0,0,461459
"37",1,1,35,-48,0.4,80,1,"loss_frame","f","safe",1440,0,0,0,470451
"38",1,1,36,37,0.6,61,1,"gain_frame","f","safe",1217,0,0,0,479219
